X,Y,ID,label
-63.6363,44.6866,2,fine
-63.618,44.6791,4,coarse
-63.6166,44.6811,2,fine
-63.6247,44.6791,2,fine
-63.6264,44.6799,3,medium
-63.6236,44.6844,2,fine
-63.6215,44.6823,2,fine
-63.6194,44.681,3,medium
-63.6181,44.6777,3,medium
-63.621,44.6791,4,coarse
-63.6222,44.6792,4,coarse
-63.6242,44.6783,2,fine
-63.6321,44.6816,2,fine
-63.6235,44.6876,1,very fine
-63.6231,44.6862,1,very fine
-63.6156,44.6801,4,coarse
-63.6169,44.6812,2,fine
-63.6235,44.6849,2,fine
-63.6178,44.6817,2,fine
-63.621,44.6802,3,medium
-63.6191,44.6837,1,very fine
-63.6229,44.6874,2,fine
-63.6195,44.6841,1,very fine
-63.6196,44.6845,1,very fine
-63.6277,44.6881,2,fine
-63.6362,44.6867,2,fine
-63.6332,44.6823,3,medium
